Person Email,Person Full Name,Category Name,Amount,Date,Notes
diana.rodriguez.39@erb7.com,Diana Rodriguez,Travel,319.65,2025-09-06,Sample transaction for Diana on 2025-09-06
henry.smith.59@erb7.com,Henry Smith,Transport,370.17,2025-10-15,Sample transaction for Henry on 2025-10-15
charlie.johnson.51@erb7.com,Charlie Johnson,Entertainment,343.43,2025-09-25,Sample transaction for Charlie on 2025-09-25
grace.garcia.52@erb7.com,Grace Garcia,Shopping,269.90,2025-10-03,Sample transaction for Grace on 2025-10-03
grace.davis.69@erb7.com,Grace Davis,Education,205.77,2025-08-28,Sample transaction for Grace on 2025-08-28
alice.davis.37@erb7.com,Alice Davis,Entertainment,340.71,2025-08-29,Sample transaction for Alice on 2025-08-29
iris.davis.84@erb7.com,Iris Davis,Clothing,405.01,2025-09-05,Sample transaction for Iris on 2025-09-05
alice.martinez.46@erb7.com,Alice Martinez,Subscriptions,292.26,2025-09-13,Sample transaction for Alice on 2025-09-13
jack.smith.26@erb7.com,Jack Smith,Food,489.67,2025-10-15,Sample transaction for Jack on 2025-10-15
alice.davis.37@erb7.com,Alice Davis,Health,65.15,2025-09-20,Sample transaction for Alice on 2025-09-20
iris.davis.84@erb7.com,Iris Davis,Food,83.78,2025-10-04,Sample transaction for Iris on 2025-10-04
bob.jones.33@erb7.com,Bob Jones,Pet,197.37,2025-10-15,Sample transaction for Bob on 2025-10-15
diana.garcia.77@erb7.com,Diana Garcia,,119.23,2025-08-30,Sample transaction for Diana on 2025-08-30
bob.garcia.15@erb7.com,Bob Garcia,Utilities,187.36,2025-08-30,Sample transaction for Bob on 2025-08-30
grace.davis.69@erb7.com,Grace Davis,Transport,138.36,2025-09-13,Sample transaction for Grace on 2025-09-13
iris.davis.84@erb7.com,Iris Davis,Groceries,498.97,2025-10-11,Sample transaction for Iris on 2025-10-11
eve.rodriguez.65@erb7.com,Eve Rodriguez,Entertainment,343.94,2025-10-04,Sample transaction for Eve on 2025-10-04
iris.davis.84@erb7.com,Iris Davis,Subscriptions,442.48,2025-09-03,Sample transaction for Iris on 2025-09-03
henry.smith.59@erb7.com,Henry Smith,Clothing,96.32,2025-10-13,Sample transaction for Henry on 2025-10-13
bob.jones.33@erb7.com,Bob Jones,Miscellaneous,230.06,2025-08-31,Sample transaction for Bob on 2025-08-31
henry.smith.59@erb7.com,Henry Smith,Pet,178.62,2025-09-29,Sample transaction for Henry on 2025-09-29
henry.smith.59@erb7.com,Henry Smith,,146.71,2025-08-25,Sample transaction for Henry on 2025-08-25
bob.garcia.15@erb7.com,Bob Garcia,Savings,60.34,2025-10-06,Sample transaction for Bob on 2025-10-06
iris.smith.8@erb7.com,Iris Smith,,264.31,2025-09-23,Sample transaction for Iris on 2025-09-23
iris.smith.8@erb7.com,Iris Smith,Groceries,241.98,2025-08-26,Sample transaction for Iris on 2025-08-26
